2025-06-10 00:17:56 - User: admin, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 00:18:16 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:18:32 - User: user, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 00:19:02 - User: user, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 00:20:50 - User: admin, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:21:08 - User: admin, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 00:25:51 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:26:23 - User: user, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 00:29:08 - User: user, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 00:49:31 - User: admin, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 00:49:37 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:50:32 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:50:35 - User: user, Action: LOGIN, Status: success, IP: ::1
2025-06-10 00:51:14 - User: user, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 01:03:09 - User: user, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 01:03:22 - User: admin, Action: LOGIN, Status: success, IP: ::1
